DAWMACFORGED|DAWMACFORGED	68	1050632797575696:r:A,1856393342406628:r:A,1617453063054784:r:A,1053857273682122:r:A,1036444612685659:r:A,2190024218522764:r:D,1606810724299323:r:D,2241039853362589:r:A,1352666413735295:r:A,2143165139916451:r:A,2922181951457164:r:A,27847729981512411:r:A,1004276919148331:r:A,1516875443224822:r:A,1985855312076094:r:A,839939571965714:r:A,1014771811122101:r:A,1690966505264305:r:A,2416044002236206:r:A,949706291252047:r:A,1311708104210146:r:A,5502146906677729:r:A,34626961683619147:r:A,24744784188553367:r:A,2146972302769220:r:A,4206282963021607:r:A,1837445783598595:r:A,1735350084099241:r:A,1278856610797814:r:A,1303537868367270:r:A,4189953091319447:r:A,1468816034667349:r:A,1425915009261748:r:A,25667815826162325:r:A,862668073245524:r:A,25604349039185921:r:A,2761316134203343:r:A,1307153218097493:r:A,796518726275047:v:A,1777546993148651:v:A,1595249557805810:v:A,632687619758204:v:A,982783024039203:v:A,563722703004130:v:A,581392874329835:v:A,1993994281104611:v:A,540218225624647:v:A,472828982460859:v:A,434231102611319:v:A,1170446427403129:v:A,2753031078194480:v:A,453583520589612:v:A,380271058393652:v:A,1349760065878473:v:A,3797814027119154:v:A,7864434240253753:v:A,408115005266215:v:A,1932575993856947:v:A,839390861353095:v:A,3701806066763836:v:A,1243661593014036:v:A,1445889549579915:v:A,415830597075112:v:A,4905092052854539:v:A,1765229740351017:v:A,546411099948706:v:A,3052945841643804:v:A,830933794382801:v:A
ARCEO|VALENCIA	20	1027611096862945:r:B,1035528232281305:r:B,2152807122143233:r:A,1143254800619386:v:A,944159034351477:v:A,334601703054533:v:A,931848488231159:v:A,720297955977929:v:A,438214071130003:v:A,1236639546813404:v:A,897621324277710:v:A,881283599441901:v:A,2067655083409783:v:A,3050943651808964:v:A,931244097687546:v:A,1079949652416472:v:B,1368701116804112:v:B,2829946703951458:v:A,2065111496958511:v:A,813345259465558:v:A
FORZZA|TITAN	11	1529258545555065:v:A,1089146866864097:r:A,2014815442574541:r:A,1363526135922106:r:A,2120223351891725:r:A,1990918701544887:r:A,1521067546065358:r:A,1864515880882889:r:A,1890678304978009:r:A,1486341269771555:r:A,2195511774589647:r:A
CONCAVER|CVR1	9	1468457414800105:r:B,892926546612404:r:B,1450582276652678:r:B,1424732792323984:r:B,1263080928477591:v:B,1082943366576157:v:B,1926127074525660:v:B,1484614165730164:v:B,593554172719582:v:A
ARCEO|MARCEILLE	8	1380801366213828:v:A,1197415158236919:v:B,207088891638320:v:A,472728574281182:v:A,1644956015844351:v:A,477127406841963:v:A,109047754566371:v:A,797972710822441:v:A
JAPANRACING|JR38	6	931355253105627:r:B,3826580090968330:r:B,4394535650781816:r:B,4488964744705309:r:B,1631262457863498:r:B,603374025500429:v:B
YANARWHEELS|UTC030	6	1555004646004527:r:D,921883944168959:r:D,860065709826820:r:D,938505215191651:r:A,1612424126447680:r:A,1841088089873695:r:A
JAPANRACING|JR46	5	1372658575002499:r:B,1577924797034690:r:B,1270551035164866:r:B,1666773554523771:r:B,4003984186539717:v:B
JAPANRACING|JR49	5	2209684099829595:r:B,1543739083765511:r:B,1427095635792519:r:B,757965067324211:r:B,1385623869599738:r:B
AXE|EX20	4	1005727722849816:v:A,1003853463037242:v:A,951271911628731:v:A,867011163388140:v:A
