# Poprawki naniesione po przejrzeniu listy przez Huberta.
# id_filmiku	producent	model	powod
1_1i-UVEt78	Sixnine Wheels	FF-THREE	"firmy 69 model Three" - 69 to Sixnine Wheels, a modelu Three w sklepie nie ma pod ta marka (jest FF-THREE, 93 produkty). Arceo Three ma 2 produkty i nie pasuje do tresci.
2250325569066174	Sixnine Wheels	FF-THREE	jak wyzej, ten sam material na Facebooku
